word	nodeType	unit	synset
right	ADJ	poeSentences	36
right	ADJ	poeSentences	36
right	ADJ	poeSentences	36
right	ADJ	poeSentences	36
open	ADJ	poeSentences	36
white	ADJ	poeSentences	25
broken	ADJ	poeSentences	72
good	ADJ	poeSentences	27
clear	ADJ	poeSentences	45
good	ADJ	poeSentences	27
good	ADJ	poeSentences	27
open	ADJ	poeSentences	36
white	ADJ	poeSentences	25
white	ADJ	poeSentences	25
right	ADJ	poeSentences	36
white	ADJ	poeSentences	25
good	ADJ	poeSentences	27
broken	ADJ	poeSentences	72
close	ADJ	poeSentences	37
close	ADJ	poeSentences	37
white	ADJ	poeSentences	25
good	ADJ	poeSentences	27
good	ADJ	poeSentences	27
striking	ADJ	poeSentences	25
light	ADJ	poeSentences	47
open	ADJ	poeSentences	36
good	ADJ	poeSentences	27
heavy	ADJ	poeSentences	30
white	ADJ	poeSentences	25
light	ADJ	poeSentences	47
white	ADJ	poeSentences	25
heavy	ADJ	poeSentences	30
heavy	ADJ	poeSentences	30
heavy	ADJ	poeSentences	30
clear	ADJ	poeSentences	45
light	ADJ	poeSentences	47
light	ADJ	poeSentences	47
close	ADJ	poeSentences	37
close	ADJ	poeSentences	37
white	ADJ	poeSentences	25
good	ADJ	poeSentences	27
good	ADJ	poeSentences	27
good	ADJ	poeSentences	27
good	ADJ	poeSentences	27
right	ADJ	poeSentences	36
good	ADJ	poeSentences	27
clear	ADJ	poeSentences	45
good	ADJ	poeSentences	27
good	ADJ	poeSentences	27
open	ADJ	poeSentences	36
right	ADJ	poeSentences	36
good	ADJ	poeSentences	27
clear	ADJ	poeSentences	45
good	ADJ	poeSentences	27
good	ADJ	poeSentences	27
open	ADJ	poeSentences	36
good	ADJ	poeSentences	27
white	ADJ	poeSentences	25
covered	ADJ	poeSentences	27
round	ADJ	poeSentences	25
white	ADJ	poeSentences	25
heavy	ADJ	poeSentences	30
close	ADJ	poeSentences	37
heavy	ADJ	poeSentences	30
light	ADJ	poeSentences	47
good	ADJ	poeSentences	27
right	ADJ	poeSentences	36
right	ADJ	poeSentences	36
heavy	ADJ	poeSentences	30
covered	ADJ	poeSentences	27
round	ADJ	poeSentences	25
white	ADJ	poeSentences	25
heavy	ADJ	poeSentences	30
close	ADJ	poeSentences	37
heavy	ADJ	poeSentences	30
light	ADJ	poeSentences	47
good	ADJ	poeSentences	27
right	ADJ	poeSentences	36
right	ADJ	poeSentences	36
heavy	ADJ	poeSentences	30
white	ADJ	poeSentences	25
white	ADJ	poeSentences	25
close	ADJ	poeSentences	37
right	ADJ	poeSentences	36
square	ADJ	poeSentences	25
heavy	ADJ	poeSentences	30
right	ADJ	poeSentences	36
heavy	ADJ	poeSentences	30
square	ADJ	poeSentences	25
good	ADJ	poeSentences	27
open	ADJ	poeSentences	36
broken	ADJ	poeSentences	72
open	ADJ	poeSentences	36
broken	ADJ	poeSentences	72
clear	ADJ	poeSentences	45
close	ADJ	poeSentences	37
good	ADJ	poeSentences	27
open	ADJ	poeSentences	36
heavy	ADJ	poeSentences	30
good	ADJ	poeSentences	27
open	ADJ	poeSentences	36
round	ADJ	poeSentences	25
open	ADJ	poeSentences	36
good	ADJ	poeSentences	27
good	ADJ	poeSentences	27
open	ADJ	poeSentences	36
right	ADJ	poeSentences	36
open	ADJ	poeSentences	36
white	ADJ	poeSentences	25
striking	ADJ	poeSentences	25
clear	ADJ	poeSentences	45
clean	ADJ	poeSentences	31
round	ADJ	poeSentences	25
light	ADJ	poeSentences	47
good	ADJ	poeSentences	27
close	ADJ	poeSentences	37
right	ADJ	poeSentences	36
open	ADJ	poeSentences	36
light	ADJ	poeSentences	47
open	ADJ	poeSentences	36
light	ADJ	poeSentences	47
right	ADJ	poeSentences	36
white	ADJ	poeSentences	25
clean	ADJ	poeSentences	31
right	ADJ	poeSentences	36
clear	ADJ	poeSentences	45
white	ADJ	poeSentences	25
clear	ADJ	poeSentences	45
clear	ADJ	poeSentences	45
light	ADJ	poeSentences	47
light	ADJ	poeSentences	47
good	ADJ	poeSentences	27
right	ADJ	poeSentences	36
square	ADJ	poeSentences	25
light	ADJ	poeSentences	47
clear	ADJ	poeSentences	45
good	ADJ	poeSentences	27
open	ADJ	poeSentences	36
light	ADJ	poeSentences	47
open	ADJ	poeSentences	36
white	ADJ	poeSentences	25
white	ADJ	poeSentences	25
round	ADJ	poeSentences	25
square	ADJ	poeSentences	25
open	ADJ	poeSentences	36
broken	ADJ	poeSentences	72
square	ADJ	poeSentences	25
open	ADJ	poeSentences	36
open	ADJ	poeSentences	36
close	ADJ	poeSentences	37
white	ADJ	poeSentences	25
clear	ADJ	poeSentences	45
heavy	ADJ	poeSentences	30
open	ADJ	poeSentences	36
light	ADJ	poeSentences	47
closed	ADJ	poeSentences	26
open	ADJ	poeSentences	36
open	ADJ	poeSentences	36
open	ADJ	poeSentences	36
heavy	ADJ	poeSentences	30
heavy	ADJ	poeSentences	30
striking	ADJ	poeSentences	25
light	ADJ	poeSentences	47
fallen	ADJ	poeSentences	36
white	ADJ	poeSentences	25
white	ADJ	poeSentences	25
open	ADJ	poeSentences	36
light	ADJ	poeSentences	47
open	ADJ	poeSentences	36
white	ADJ	poeSentences	25
good	ADJ	poeSentences	27
light	ADJ	poeSentences	47
white	ADJ	poeSentences	25
white	ADJ	poeSentences	25
