word	nodeType	unit	synset
convenient	ADJ	lovecraftSentences	2
brittle	ADJ	lovecraftSentences	4
strange	ADJ	lovecraftSentences	3
dwarfed	ADJ	lovecraftSentences	2
tasteless	ADJ	lovecraftSentences	2
front	ADJ	lovecraftSentences	13
such	ADJ	lovecraftSentences	2
blasphemous	ADJ	lovecraftSentences	2
old	ADJ	lovecraftSentences	9
greyish	ADJ	lovecraftSentences	1
terrific	ADJ	lovecraftSentences	3
constant	ADJ	lovecraftSentences	5
nervous	ADJ	lovecraftSentences	5
rare	ADJ	lovecraftSentences	6
well	ADJ	lovecraftSentences	22
good	ADJ	lovecraftSentences	27
evil	ADJ	lovecraftSentences	6
fetid	ADJ	lovecraftSentences	1
salty	ADJ	lovecraftSentences	3
high	ADJ	lovecraftSentences	18
good	ADJ	lovecraftSentences	27
calloused	ADJ	lovecraftSentences	2
strange	ADJ	lovecraftSentences	3
unpleasant	ADJ	lovecraftSentences	1
tainted	ADJ	lovecraftSentences	3
meagre	ADJ	lovecraftSentences	1
thankless	ADJ	lovecraftSentences	2
monotonous	ADJ	lovecraftSentences	2
aimless	ADJ	lovecraftSentences	2
stolid	ADJ	lovecraftSentences	1
nameless	ADJ	lovecraftSentences	1
certain	ADJ	lovecraftSentences	7
familiar	ADJ	lovecraftSentences	7
mad	ADJ	lovecraftSentences	4
empty	ADJ	lovecraftSentences	10
handed	ADJ	lovecraftSentences	3
inane	ADJ	lovecraftSentences	1
bad	ADJ	lovecraftSentences	17
brave	ADJ	lovecraftSentences	6
attic	ADJ	lovecraftSentences	5
other	ADJ	lovecraftSentences	4
terrible	ADJ	lovecraftSentences	4
little	ADJ	lovecraftSentences	10
terrible	ADJ	lovecraftSentences	4
imaginative	ADJ	lovecraftSentences	1
bad	ADJ	lovecraftSentences	17
great	ADJ	lovecraftSentences	7
same	ADJ	lovecraftSentences	6
greyish	ADJ	lovecraftSentences	1
dry	ADJ	lovecraftSentences	19
fat	ADJ	lovecraftSentences	9
loathsome	ADJ	lovecraftSentences	2
useless	ADJ	lovecraftSentences	1
rural	ADJ	lovecraftSentences	2
brittle	ADJ	lovecraftSentences	4
singular	ADJ	lovecraftSentences	7
inexplicable	ADJ	lovecraftSentences	1
tainted	ADJ	lovecraftSentences	3
certain	ADJ	lovecraftSentences	7
whole	ADJ	lovecraftSentences	8
atrocious	ADJ	lovecraftSentences	3
common	ADJ	lovecraftSentences	10
last	ADJ	lovecraftSentences	21
brittle	ADJ	lovecraftSentences	4
locked	ADJ	lovecraftSentences	9
undisturbed	ADJ	lovecraftSentences	1
live	ADJ	lovecraftSentences	19
solid	ADJ	lovecraftSentences	18
natural	ADJ	lovecraftSentences	13
such	ADJ	lovecraftSentences	2
dead	ADJ	lovecraftSentences	21
graceful	ADJ	lovecraftSentences	2
hideous	ADJ	lovecraftSentences	2
poor	ADJ	lovecraftSentences	7
attic	ADJ	lovecraftSentences	5
small	ADJ	lovecraftSentences	13
locked	ADJ	lovecraftSentences	9
intact	ADJ	lovecraftSentences	4
much	ADJ	lovecraftSentences	7
stark	ADJ	lovecraftSentences	6
unnamed	ADJ	lovecraftSentences	1
unnameable	ADJ	lovecraftSentences	1
great	ADJ	lovecraftSentences	7
hysterical	ADJ	lovecraftSentences	2
little	ADJ	lovecraftSentences	10
merciful	ADJ	lovecraftSentences	2
feeble	ADJ	lovecraftSentences	4
faint	ADJ	lovecraftSentences	8
lucky	ADJ	lovecraftSentences	3
imaginative	ADJ	lovecraftSentences	1
bent	ADJ	lovecraftSentences	13
able	ADJ	lovecraftSentences	4
total	ADJ	lovecraftSentences	7
mad	ADJ	lovecraftSentences	4
nervous	ADJ	lovecraftSentences	5
horrible	ADJ	lovecraftSentences	1
early	ADJ	lovecraftSentences	9
desperate	ADJ	lovecraftSentences	7
little	ADJ	lovecraftSentences	10
lantern	ADJ	lovecraftSentences	1
frantic	ADJ	lovecraftSentences	2
curious	ADJ	lovecraftSentences	3
crushed	ADJ	lovecraftSentences	10
bent	ADJ	lovecraftSentences	13
twisted	ADJ	lovecraftSentences	11
past	ADJ	lovecraftSentences	6
blank	ADJ	lovecraftSentences	8
worried	ADJ	lovecraftSentences	8
great	ADJ	lovecraftSentences	7
apprehensive	ADJ	lovecraftSentences	3
bad	ADJ	lovecraftSentences	17
whole	ADJ	lovecraftSentences	8
