word	nodeType	unit	synset
piece	NOUN	lovecraftSentences	18
trip	NOUN	lovecraftSentences	12
fragment	NOUN	lovecraftSentences	4
bottom	NOUN	lovecraftSentences	12
pail	NOUN	lovecraftSentences	2
day	NOUN	lovecraftSentences	10
professor	NOUN	lovecraftSentences	1
excitement	NOUN	lovecraftSentences	4
queer	NOUN	lovecraftSentences	5
thing	NOUN	lovecraftSentences	12
speciman	NOUN	lovecraftSentences	0
glass	NOUN	lovecraftSentences	12
beaker	NOUN	lovecraftSentences	2
beaker	NOUN	lovecraftSentences	2
man	NOUN	lovecraftSentences	13
stone	NOUN	lovecraftSentences	16
affinity	NOUN	lovecraftSentences	7
silicon	NOUN	lovecraftSentences	1
laboratory	NOUN	lovecraftSentences	2
gas	NOUN	lovecraftSentences	8
charcoal	NOUN	lovecraftSentences	6
borax	NOUN	lovecraftSentences	1
bead	NOUN	lovecraftSentences	6
temperature	NOUN	lovecraftSentences	2
hydrogen	NOUN	lovecraftSentences	1
blowpipe	NOUN	lovecraftSentences	2
anvil	NOUN	lovecraftSentences	2
dark	NOUN	lovecraftSentences	16
luminosity	NOUN	lovecraftSentences	1
college	NOUN	lovecraftSentences	3
state	NOUN	lovecraftSentences	11
excitement	NOUN	lovecraftSentences	4
heating	NOUN	lovecraftSentences	6
spectroscope	NOUN	lovecraftSentences	1
band	NOUN	lovecraftSentences	15
colour	NOUN	lovecraftSentences	15
spectrum	NOUN	lovecraftSentences	2
talk	NOUN	lovecraftSentences	11
element	NOUN	lovecraftSentences	7
property	NOUN	lovecraftSentences	5
thing	NOUN	lovecraftSentences	12
man	NOUN	lovecraftSentences	13
science	NOUN	lovecraftSentences	2
unknown	NOUN	lovecraftSentences	8
crucible	NOUN	lovecraftSentences	1
reagent	NOUN	lovecraftSentences	1
water	NOUN	lovecraftSentences	10
acid	NOUN	lovecraftSentences	5
acid	NOUN	lovecraftSentences	5
aqua	NOUN	lovecraftSentences	1
regia	NOUN	lovecraftSentences	0
invulnerability	NOUN	lovecraftSentences	2
difficulty	NOUN	lovecraftSentences	4
thing	NOUN	lovecraftSentences	12
solvent	NOUN	lovecraftSentences	3
order	NOUN	lovecraftSentences	24
use	NOUN	lovecraftSentences	13
soda	NOUN	lovecraftSentences	2
alcohol	NOUN	lovecraftSentences	2
ether	NOUN	lovecraftSentences	4
carbon	NOUN	lovecraftSentences	3
disulphide	NOUN	lovecraftSentences	0
dozen	NOUN	lovecraftSentences	2
other	NOUN	lovecraftSentences	4
weight	NOUN	lovecraftSentences	10
time	NOUN	lovecraftSentences	15
fragment	NOUN	lovecraftSentences	4
change	NOUN	lovecraftSentences	20
solvent	NOUN	lovecraftSentences	3
substance	NOUN	lovecraftSentences	7
metal	NOUN	lovecraftSentences	4
doubt	NOUN	lovecraftSentences	4
thing	NOUN	lovecraftSentences	12
immersion	NOUN	lovecraftSentences	5
acid	NOUN	lovecraftSentences	5
solvent	NOUN	lovecraftSentences	3
trace	NOUN	lovecraftSentences	14
figure	NOUN	lovecraftSentences	18
iron	NOUN	lovecraftSentences	6
cooling	NOUN	lovecraftSentences	5
testing	NOUN	lovecraftSentences	10
glass	NOUN	lovecraftSentences	12
glass	NOUN	lovecraftSentences	12
beaker	NOUN	lovecraftSentences	2
chip	NOUN	lovecraftSentences	14
fragment	NOUN	lovecraftSentences	4
work	NOUN	lovecraftSentences	34
morning	NOUN	lovecraftSentences	4
chip	NOUN	lovecraftSentences	14
beaker	NOUN	lovecraftSentences	2
trace	NOUN	lovecraftSentences	14
spot	NOUN	lovecraftSentences	20
place	NOUN	lovecraftSentences	32
shelf	NOUN	lovecraftSentences	2
professor	NOUN	lovecraftSentences	1
door	NOUN	lovecraftSentences	5
messenger	NOUN	lovecraftSentences	1
star	NOUN	lovecraftSentences	12
time	NOUN	lovecraftSentences	15
wife	NOUN	lovecraftSentences	1
professor	NOUN	lovecraftSentences	1
truth	NOUN	lovecraftSentences	5
lump	NOUN	lovecraftSentences	6
well	NOUN	lovecraftSentences	22
space	NOUN	lovecraftSentences	10
earth	NOUN	lovecraftSentences	9
foot	NOUN	lovecraftSentences	14
day	NOUN	lovecraftSentences	10
sage	NOUN	lovecraftSentences	5
surface	NOUN	lovecraftSentences	10
piece	NOUN	lovecraftSentences	18
hammer	NOUN	lovecraftSentences	10
chisel	NOUN	lovecraftSentences	4
time	NOUN	lovecraftSentences	15
mass	NOUN	lovecraftSentences	11
core	NOUN	lovecraftSentences	11
thing	NOUN	lovecraftSentences	12
side	NOUN	lovecraftSentences	14
globule	NOUN	lovecraftSentences	1
substance	NOUN	lovecraftSentences	7
colour	NOUN	lovecraftSentences	15
band	NOUN	lovecraftSentences	15
meteor	NOUN	lovecraftSentences	2
spectrum	NOUN	lovecraftSentences	2
analogy	NOUN	lovecraftSentences	3
colour	NOUN	lovecraftSentences	15
texture	NOUN	lovecraftSentences	5
brittleness	NOUN	lovecraftSentences	1
hollowness	NOUN	lovecraftSentences	3
professor	NOUN	lovecraftSentences	1
blow	NOUN	lovecraftSentences	29
hammer	NOUN	lovecraftSentences	10
pop	NOUN	lovecraftSentences	19
trace	NOUN	lovecraftSentences	14
thing	NOUN	lovecraftSentences	12
puncturing	NOUN	lovecraftSentences	5
space	NOUN	lovecraftSentences	10
inch	NOUN	lovecraftSentences	3
other	NOUN	lovecraftSentences	4
enclosing	NOUN	lovecraftSentences	5
substance	NOUN	lovecraftSentences	7
conjecture	NOUN	lovecraftSentences	4
attempt	NOUN	lovecraftSentences	4
globule	NOUN	lovecraftSentences	1
drilling	NOUN	lovecraftSentences	7
seeker	NOUN	lovecraftSentences	2
speciman	NOUN	lovecraftSentences	0
laboratory	NOUN	lovecraftSentences	2
predecessor	NOUN	lovecraftSentences	2
heat	NOUN	lovecraftSentences	11
magnetism	NOUN	lovecraftSentences	2
luminosity	NOUN	lovecraftSentences	1
acid	NOUN	lovecraftSentences	5
spectrum	NOUN	lovecraftSentences	2
air	NOUN	lovecraftSentences	15
silicon	NOUN	lovecraftSentences	1
compound	NOUN	lovecraftSentences	11
destruction	NOUN	lovecraftSentences	3
result	NOUN	lovecraftSentences	7
feature	NOUN	lovecraftSentences	8
end	NOUN	lovecraftSentences	18
test	NOUN	lovecraftSentences	13
college	NOUN	lovecraftSentences	3
scientist	NOUN	lovecraftSentences	1
earth	NOUN	lovecraftSentences	9
piece	NOUN	lovecraftSentences	18
outside	NOUN	lovecraftSentences	14
property	NOUN	lovecraftSentences	5
law	NOUN	lovecraftSentences	7
night	NOUN	lovecraftSentences	8
thunderstorm	NOUN	lovecraftSentences	1
professor	NOUN	lovecraftSentences	1
day	NOUN	lovecraftSentences	10
disappointment	NOUN	lovecraftSentences	2
stone	NOUN	lovecraftSentences	16
property	NOUN	lovecraftSentences	5
lightning	NOUN	lovecraftSentences	2
persistence	NOUN	lovecraftSentences	3
time	NOUN	lovecraftSentences	15
hour	NOUN	lovecraftSentences	4
farmer	NOUN	lovecraftSentences	3
lightning	NOUN	lovecraftSentences	2
furrow	NOUN	lovecraftSentences	5
yard	NOUN	lovecraftSentences	9
storm	NOUN	lovecraftSentences	8
pit	NOUN	lovecraftSentences	14
sweep	NOUN	lovecraftSentences	15
earth	NOUN	lovecraftSentences	9
digging	NOUN	lovecraftSentences	9
fruit	NOUN	lovecraftSentences	5
scientist	NOUN	lovecraftSentences	1
fact	NOUN	lovecraftSentences	4
utter	NOUN	lovecraftSentences	6
vanishment	NOUN	lovecraftSentences	0
failure	NOUN	lovecraftSentences	7
laboratory	NOUN	lovecraftSentences	2
fragment	NOUN	lovecraftSentences	4
lead	NOUN	lovecraftSentences	31
fragment	NOUN	lovecraftSentences	4
week	NOUN	lovecraftSentences	3
end	NOUN	lovecraftSentences	18
value	NOUN	lovecraftSentences	11
residue	NOUN	lovecraftSentences	2
time	NOUN	lovecraftSentences	15
professor	NOUN	lovecraftSentences	1
eye	NOUN	lovecraftSentences	6
vestige	NOUN	lovecraftSentences	1
gulfs	NOUN	lovecraftSentences	3
message	NOUN	lovecraftSentences	5
universe	NOUN	lovecraftSentences	3
realm	NOUN	lovecraftSentences	3
matter	NOUN	lovecraftSentences	7
force	NOUN	lovecraftSentences	19
entity	NOUN	lovecraftSentences	1
paper	NOUN	lovecraftSentences	9
incident	NOUN	lovecraftSentences	4
collegiate	NOUN	lovecraftSentences	1
sponsoring	NOUN	lovecraftSentences	3
reporter	NOUN	lovecraftSentences	1
family	NOUN	lovecraftSentences	8
daily	NOUN	lovecraftSentences	5
scribe	NOUN	lovecraftSentences	5
kind	NOUN	lovecraftSentences	4
celebrity	NOUN	lovecraftSentences	2
person	NOUN	lovecraftSentences	3
wife	NOUN	lovecraftSentences	1
son	NOUN	lovecraftSentences	2
farmstead	NOUN	lovecraftSentences	2
valley	NOUN	lovecraftSentences	1
visit	NOUN	lovecraftSentences	13
wife	NOUN	lovecraftSentences	1
praise	NOUN	lovecraftSentences	3
year	NOUN	lovecraftSentences	4
notice	NOUN	lovecraftSentences	11
place	NOUN	lovecraftSentences	32
meteorite	NOUN	lovecraftSentences	1
week	NOUN	lovecraftSentences	3
haying	NOUN	lovecraftSentences	3
acre	NOUN	lovecraftSentences	3
pasture	NOUN	lovecraftSentences	4
wain	NOUN	lovecraftSentences	3
rut	NOUN	lovecraftSentences	5
lane	NOUN	lovecraftSentences	2
labour	NOUN	lovecraftSentences	7
year	NOUN	lovecraftSentences	4
age	NOUN	lovecraftSentences	8
time	NOUN	lovecraftSentences	15
fruit	NOUN	lovecraftSentences	5
harvest	NOUN	lovecraftSentences	6
pear	NOUN	lovecraftSentences	2
apple	NOUN	lovecraftSentences	2
orchard	NOUN	lovecraftSentences	1
fruit	NOUN	lovecraftSentences	5
size	NOUN	lovecraftSentences	9
gloss	NOUN	lovecraftSentences	8
abundance	NOUN	lovecraftSentences	3
barrel	NOUN	lovecraftSentences	6
crop	NOUN	lovecraftSentences	12
ripening	NOUN	lovecraftSentences	4
disappointment	NOUN	lovecraftSentences	2
array	NOUN	lovecraftSentences	6
lusciousness	NOUN	lovecraftSentences	1
jot	NOUN	lovecraftSentences	3
flavour	NOUN	lovecraftSentences	4
pear	NOUN	lovecraftSentences	2
apple	NOUN	lovecraftSentences	2
bitterness	NOUN	lovecraftSentences	4
sickishness	NOUN	lovecraftSentences	0
bite	NOUN	lovecraftSentences	13
disgust	NOUN	lovecraftSentences	3
melon	NOUN	lovecraftSentences	2
tomato	NOUN	lovecraftSentences	2
crop	NOUN	lovecraftSentences	12
event	NOUN	lovecraftSentences	4
meteorite	NOUN	lovecraftSentences	1
soil	NOUN	lovecraftSentences	5
crop	NOUN	lovecraftSentences	12
upland	NOUN	lovecraftSentences	2
lot	NOUN	lovecraftSentences	9
road	NOUN	lovecraftSentences	2
winter	NOUN	lovecraftSentences	2
rest	NOUN	lovecraftSentences	18
family	NOUN	lovecraftSentences	8
churchgoing	NOUN	lovecraftSentences	1
attendance	NOUN	lovecraftSentences	3
event	NOUN	lovecraftSentences	4
